Measure,Pre-2009,2009-2013,2014-2016,Post-2016,Measure2,Agency,MortgageType,Date
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,105,44,36,45,TOTAL,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,26,13,11,30,CUSTOMER BUY,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,35,13,8,5,CUSTOMER SELL,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,44,18,17,10,DEALER TO DEALER,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,105,41,33,35,<= $1MM,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,0,*,5,<= $100MM,GNMA,AGENCY CMO P&I,01/02/2019
NUMBER OF TRADES,0,0,0,*,> $100MM,GNMA,AGENCY CMO P&I,01/02/2019
AVERAGE PRICE,*,*,*,17.5,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
WEIGHTED AVG. PRICE,*,*,*,17.1,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
AVG. PRICE BOTTOM 5 TRADES,*,*,*,17.5,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
2ND QUARTILE PRICE,*,*,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
3RD QUARTILE PRICE,*,*,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
4TH QUARTILE PRICE,*,*,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
AVG. PRICE TOP 5 TRADES,*,*,*,17.5,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
STANDARD DEVIATION,*,*,*,0.4,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,*,*,42870.8,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,0,*,31870.8,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,*,*,*,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,*,0,0,<= $1MM,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,*,11000,<= $10MM,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,*,*,8,TOTAL,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,0,*,7,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,*,*,*,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,*,0,0,<= $1MM,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,*,6,<= $10MM,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,01/02/2019
AVERAGE PRICE,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
WEIGHTED AVG. PRICE,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
AVG. PRICE BOTTOM 5 TRADES,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
2ND QUARTILE PRICE,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
3RD QUARTILE PRICE,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
4TH QUARTILE PRICE,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
AVG. PRICE TOP 5 TRADES,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
STANDARD DEVIATION,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,0,0,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,0,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),*,0,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,0,0,*,TOTAL,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,0,0,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,0,0,*,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,*,0,0,*,<= $1MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,<= $100MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,01/02/2019
AVERAGE PRICE,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
WEIGHTED AVG. PRICE,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
AVG. PRICE BOTTOM 5 TRADES,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
2ND QUARTILE PRICE,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
3RD QUARTILE PRICE,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
4TH QUARTILE PRICE,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
AVG. PRICE TOP 5 TRADES,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
STANDARD DEVIATION,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,*,0,0,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,*,0,0,<= $1MM,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $10MM,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $100MM,GNMA,AGENCY CMO IO/PO,01/02/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,*,0,0,TOTAL,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,*,0,0,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,*,0,0,<= $1MM,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,<= $10MM,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,<= $100MM,GNMA,AGENCY CMO IO/PO,01/02/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO IO/PO,01/02/2019
AVERAGE PRICE,101.5,92.7,93.8,94.2,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
WEIGHTED AVG. PRICE,108.6,101.7,100.3,100.4,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
AVG. PRICE BOTTOM 5 TRADES,76.1,77.3,85.6,74.7,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
2ND QUARTILE PRICE,100.3,88,89.8,97.6,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
3RD QUARTILE PRICE,104.2,92.7,95.8,100,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
4TH QUARTILE PRICE,108.3,99.4,98.4,100,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
AVG. PRICE TOP 5 TRADES,108.9,106.9,99.8,99.9,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
STANDARD DEVIATION,10.2,8.2,5.3,19.1,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),138013.4,17669,82671.8,79342,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),97.2,2909.3,20617.6,74532.6,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),137883.6,7697.3,60188,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),32.6,7062.4,1866.2,*,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),230.7,5808.2,5282.3,2816.9,<= $1MM,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),75421.9,*,0,*,<= $10MM,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),*,0,*,*,<= $100MM,FNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,70,85,38,28,TOTAL,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,18,16,15,22,CUSTOMER BUY,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,39,35,9,*,CUSTOMER SELL,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,13,34,14,*,DEALER TO DEALER,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,55,83,36,26,<= $1MM,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,12,*,0,*,<= $10MM,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,*,0,*,*,<= $100MM,FNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,01/03/2019
AVERAGE PRICE,104,95.9,93.2,96.2,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
WEIGHTED AVG. PRICE,111.9,108.4,99.7,100.5,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
AVG. PRICE BOTTOM 5 TRADES,86.7,78.4,86.3,75.9,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
2ND QUARTILE PRICE,101.7,91.6,88.4,98.4,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
3RD QUARTILE PRICE,104.5,98,94.4,100,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
4TH QUARTILE PRICE,107.2,102.9,96.9,101.5,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
AVG. PRICE TOP 5 TRADES,114.7,109.5,100,102.6,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
STANDARD DEVIATION,7.1,8.6,5.6,18.7,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),112066.6,84164.6,11454.4,381395.9,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),47759.5,14401,7186,129915.5,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),63985.7,65634.1,3784.2,251073.2,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),321.5,4129.5,484.3,*,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),1743.7,5330.1,2724.2,1113.2,<= $1MM,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),78859.3,20083,*,*,<= $10MM,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),*,*,0,368587.7,<= $100MM,FHLMC,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,98,70,26,29,TOTAL,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,33,25,7,15,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,41,25,9,10,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,24,20,10,*,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,79,61,24,16,<= $1MM,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,17,8,*,*,<= $10MM,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,*,*,0,10,<= $100MM,FHLMC,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,01/03/2019
AVERAGE PRICE,105,95.9,91.4,93.3,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
WEIGHTED AVG. PRICE,105.7,105.2,97.3,99.9,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
AVG. PRICE BOTTOM 5 TRADES,97.4,76.2,81.1,79.6,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
2ND QUARTILE PRICE,103,93.3,87.9,96,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
3RD QUARTILE PRICE,104.8,99.3,93.5,97.4,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
4TH QUARTILE PRICE,107,102.5,96,100.4,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
AVG. PRICE TOP 5 TRADES,113.3,107.5,98.1,101.8,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
STANDARD DEVIATION,3.6,8.9,6.1,22.1,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),5079.5,6980.9,2866.6,2981.9,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),2254.7,4804.5,1283.5,803.7,CUSTOMER BUY,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),789.1,1248.9,239,1272.8,CUSTOMER SELL,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),2035.7,927.5,1344.1,905.4,DEALER TO DEALER,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),2709.7,3444.5,864.3,1897.8,<= $1MM,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),*,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),0,0,0,0,<= $100MM,GNMA,AGENCY CMO P&I,01/03/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,117,79,29,20,TOTAL,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,36,26,12,10,CUSTOMER BUY,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,40,22,5,5,CUSTOMER SELL,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,41,31,12,5,DEALER TO DEALER,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,115,78,27,19,<= $1MM,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,*,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,0,0,0,0,<= $100MM,GNMA,AGENCY CMO P&I,01/03/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,01/03/2019
AVERAGE PRICE,*,12.3,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
WEIGHTED AVG. PRICE,*,11.8,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
AVG. PRICE BOTTOM 5 TRADES,*,8.7,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
2ND QUARTILE PRICE,*,8.3,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
3RD QUARTILE PRICE,*,14.3,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
4TH QUARTILE PRICE,*,15.2,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
AVG. PRICE TOP 5 TRADES,*,14.7,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
STANDARD DEVIATION,*,4.2,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),*,27510.5,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),*,*,*,0,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),*,*,0,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),0,26376.4,*,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),*,1635.9,0,0,<= $1MM,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),0,0,*,0,<= $10MM,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),0,*,0,0,<= $100MM,FNMA,AGENCY CMO IO/PO,01/03/2019
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,*,11,*,0,TOTAL,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,*,*,*,0,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,*,*,0,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,0,5,*,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,*,9,0,0,<= $1MM,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,0,0,*,0,<= $10MM,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,0,*,0,0,<= $100MM,FNMA,AGENCY CMO IO/PO,01/03/2019
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,01/03/2019
