Measure,PRE-2009,2009-2013,2014-2016,POST-2016,Measure2,Agency,MortgageType,Date
NUMBER OF TRADES,43,19,9,33,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,27,18,*,*,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,35,17,6,28,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,105,49,8,27,<= $1MM,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,*,8,25,<= $10MM,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,0,0,12,<= $100MM,FHLMC,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,*,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190301
AVERAGE PRICE,102.6,93.1,93.4,99,TOTAL,GNMA,AGENCY CMO P&I,20190301
WEIGHTED AVG. PRICE,102.8,101.9,100.6,100.1,TOTAL,GNMA,AGENCY CMO P&I,20190301
AVG. PRICE BOTTOM 5 TRADES,96.3,71.1,91.4,94.7,TOTAL,GNMA,AGENCY CMO P&I,20190301
2ND QUARTILE PRICE,100,88,92,98.6,TOTAL,GNMA,AGENCY CMO P&I,20190301
3RD QUARTILE PRICE,101.9,98,95.5,99.9,TOTAL,GNMA,AGENCY CMO P&I,20190301
4TH QUARTILE PRICE,106,100.1,97.5,100,TOTAL,GNMA,AGENCY CMO P&I,20190301
AVG. PRICE TOP 5 TRADES,108.7,105.3,95.8,100.6,TOTAL,GNMA,AGENCY CMO P&I,20190301
STANDARD DEVIATION,3.6,10.1,4.8,1.8,TOTAL,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),2707.9,27484.8,1070.7,209323.1,TOTAL,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),1933.1,19938.6,*,195988.9,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),512.7,3012.2,*,*,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),262.1,4534.1,43.5,13318.4,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),2707.9,5386.9,69.3,3703.4,<= $1MM,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,22097.9,*,31140.8,<= $10MM,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,GNMA,AGENCY CMO P&I,20190301
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,76,70,11,69,TOTAL,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,28,22,*,50,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,16,16,*,*,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,32,32,6,18,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,76,64,10,54,<= $1MM,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,6,*,11,<= $10MM,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,0,0,*,<= $100MM,GNMA,AGENCY CMO P&I,20190301
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,20190301
AVERAGE PRICE,26.6,8,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
WEIGHTED AVG. PRICE,19.5,5,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
AVG. PRICE BOTTOM 5 TRADES,10.2,5.7,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
2ND QUARTILE PRICE,14,3.4,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
3RD QUARTILE PRICE,24,9.3,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
4TH QUARTILE PRICE,24.6,11.2,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
AVG. PRICE TOP 5 TRADES,39.7,10.8,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
STANDARD DEVIATION,26.5,4.1,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),4093.2,15619.1,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),1845.5,*,*,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),1496,*,*,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,*,0,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),4093.2,*,*,0,<= $1MM,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,*,*,0,<= $10MM,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,15,8,*,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,7,*,*,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,6,*,*,0,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,*,0,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,15,*,*,0,<= $1MM,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,*,*,0,<= $10MM,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,0,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190301
AVERAGE PRICE,*,31.3,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
WEIGHTED AVG. PRICE,*,16.5,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
AVG. PRICE BOTTOM 5 TRADES,*,13.6,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
2ND QUARTILE PRICE,*,16.5,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
3RD QUARTILE PRICE,*,16.7,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
4TH QUARTILE PRICE,*,82.3,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
AVG. PRICE TOP 5 TRADES,*,43.1,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
STANDARD DEVIATION,*,31.9,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,139588.2,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,*,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,*,0,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,*,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,*,0,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,*,0,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,8,*,*,TOTAL,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,*,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,*,0,*,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,*,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,*,0,0,<= $1MM,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,*,*,0,<= $10MM,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,*,0,*,<= $100MM,FHLMC,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO IO/PO,20190301
AVERAGE PRICE,*,*,*,7.8,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
WEIGHTED AVG. PRICE,*,*,*,5.6,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
AVG. PRICE BOTTOM 5 TRADES,*,*,*,6.7,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
2ND QUARTILE PRICE,*,*,*,3.9,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
3RD QUARTILE PRICE,*,*,*,5.3,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
4TH QUARTILE PRICE,*,*,*,14.5,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
AVG. PRICE TOP 5 TRADES,*,*,*,8.3,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
STANDARD DEVIATION,*,*,*,5.1,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,*,*,435209.2,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,0,0,276156.7,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,*,*,0,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,0,0,*,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),*,0,*,*,<= $1MM,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,*,0,0,<= $10MM,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,0,0,276036.3,<= $100MM,GNMA,AGENCY CMO IO/PO,20190301
VOLUME OF TRADES (000'S),0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,*,*,8,TOTAL,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,0,0,7,CUSTOMER BUY,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,*,*,0,CUSTOMER SELL,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,0,0,*,DEALER TO DEALER,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,*,0,*,*,<= $1MM,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,*,0,0,<= $10MM,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,0,0,6,<= $100MM,GNMA,AGENCY CMO IO/PO,20190301
NUMBER OF TRADES,0,0,0,*,> $100MM,GNMA,AGENCY CMO IO/PO,20190301
AVERAGE PRICE,100.5,94.7,94.2,91,TOTAL,FNMA,AGENCY CMO P&I,20190304
WEIGHTED AVG. PRICE,101.2,97.3,99.2,99.3,TOTAL,FNMA,AGENCY CMO P&I,20190304
AVG. PRICE BOTTOM 5 TRADES,91.6,77,82.5,57,TOTAL,FNMA,AGENCY CMO P&I,20190304
2ND QUARTILE PRICE,98.6,88.1,93,96.4,TOTAL,FNMA,AGENCY CMO P&I,20190304
3RD QUARTILE PRICE,100,97.5,98.6,99,TOTAL,FNMA,AGENCY CMO P&I,20190304
4TH QUARTILE PRICE,103.4,100,99.3,99.6,TOTAL,FNMA,AGENCY CMO P&I,20190304
AVG. PRICE TOP 5 TRADES,109.1,109.2,100,102.3,TOTAL,FNMA,AGENCY CMO P&I,20190304
STANDARD DEVIATION,4.7,8.4,7.3,26.6,TOTAL,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),2044.6,66579.5,43607.6,322074.2,TOTAL,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),1217.7,28500.7,2625.3,188523.4,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),767.4,30381.9,29586.3,63158.7,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),59.5,7696.9,11396,70392.1,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),2044.6,10034.4,1118.5,10589.9,<= $1MM,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,22675,19480.8,32348,<= $10MM,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,*,*,279136.3,<= $100MM,FNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,70,87,24,51,TOTAL,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,20,33,7,35,CUSTOMER BUY,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,30,30,8,6,CUSTOMER SELL,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,20,24,9,10,DEALER TO DEALER,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,70,76,17,34,<= $1MM,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,9,6,7,<= $10MM,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,*,*,10,<= $100MM,FNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO P&I,20190304
AVERAGE PRICE,101.3,95.8,90,92.8,TOTAL,FHLMC,AGENCY CMO P&I,20190304
WEIGHTED AVG. PRICE,103.4,98.9,99.2,99.9,TOTAL,FHLMC,AGENCY CMO P&I,20190304
AVG. PRICE BOTTOM 5 TRADES,90.1,77.4,83.2,63.8,TOTAL,FHLMC,AGENCY CMO P&I,20190304
2ND QUARTILE PRICE,99.5,90.8,84.3,99,TOTAL,FHLMC,AGENCY CMO P&I,20190304
3RD QUARTILE PRICE,100.7,98.8,90.1,99.6,TOTAL,FHLMC,AGENCY CMO P&I,20190304
4TH QUARTILE PRICE,105.1,102.2,99.1,101.9,TOTAL,FHLMC,AGENCY CMO P&I,20190304
AVG. PRICE TOP 5 TRADES,108.6,104.7,97.9,102.4,TOTAL,FHLMC,AGENCY CMO P&I,20190304
STANDARD DEVIATION,4.6,8.5,7,25.6,TOTAL,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),1109,89260.5,5670,361493,TOTAL,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),331.2,18136.1,5508.3,116004.2,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),403.9,65391.1,*,153162.3,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),373.9,5733.4,78.4,92326.5,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),1109,10621.6,1599.9,1960.3,<= $1MM,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,25763.9,*,58446.4,<= $10MM,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,*,0,301086.3,<= $100MM,FHLMC,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,136,96,17,43,TOTAL,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,27,43,7,22,CUSTOMER BUY,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,62,34,*,7,CUSTOMER SELL,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,47,19,6,14,DEALER TO DEALER,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,136,87,15,17,<= $1MM,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,7,*,14,<= $10MM,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,*,0,12,<= $100MM,FHLMC,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,0,0,0,> $100MM,FHLMC,AGENCY CMO P&I,20190304
AVERAGE PRICE,103.2,95.6,89.8,96.6,TOTAL,GNMA,AGENCY CMO P&I,20190304
WEIGHTED AVG. PRICE,101.8,105.3,100.3,99.9,TOTAL,GNMA,AGENCY CMO P&I,20190304
AVG. PRICE BOTTOM 5 TRADES,90,82.2,82.4,74.6,TOTAL,GNMA,AGENCY CMO P&I,20190304
2ND QUARTILE PRICE,101,88.6,85.2,96.2,TOTAL,GNMA,AGENCY CMO P&I,20190304
3RD QUARTILE PRICE,104.1,98.5,88,98.8,TOTAL,GNMA,AGENCY CMO P&I,20190304
4TH QUARTILE PRICE,106.5,102.2,96.1,100,TOTAL,GNMA,AGENCY CMO P&I,20190304
AVG. PRICE TOP 5 TRADES,109.9,107.8,98.7,101,TOTAL,GNMA,AGENCY CMO P&I,20190304
STANDARD DEVIATION,5,8.5,7.2,11.2,TOTAL,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),1754.9,30843.6,23589.7,166262.4,TOTAL,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),308.6,8536.6,23395.7,163999.1,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),1136.7,8352.6,77.7,1583.6,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),309.7,13954.4,116.3,679.7,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),1754.9,4692.1,240.6,3841.9,<= $1MM,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,0,*,145020.3,<= $100MM,GNMA,AGENCY CMO P&I,20190304
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,96,74,21,80,TOTAL,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,17,27,7,58,CUSTOMER BUY,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,44,23,6,7,CUSTOMER SELL,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,35,24,8,15,DEALER TO DEALER,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,96,70,19,71,<= $1MM,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,*,*,*,<= $10MM,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,0,*,5,<= $100MM,GNMA,AGENCY CMO P&I,20190304
NUMBER OF TRADES,0,0,0,0,> $100MM,GNMA,AGENCY CMO P&I,20190304
AVERAGE PRICE,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
WEIGHTED AVG. PRICE,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
AVG. PRICE BOTTOM 5 TRADES,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
2ND QUARTILE PRICE,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
3RD QUARTILE PRICE,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
4TH QUARTILE PRICE,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
AVG. PRICE TOP 5 TRADES,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
STANDARD DEVIATION,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),*,*,0,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),0,0,0,*,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),*,0,0,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),*,*,0,*,<= $1MM,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),0,*,0,*,<= $10MM,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),0,0,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,*,*,0,*,TOTAL,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,*,*,0,*,CUSTOMER BUY,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,0,0,0,*,CUSTOMER SELL,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,*,0,0,0,DEALER TO DEALER,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,*,*,0,*,<= $1MM,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,0,*,0,*,<= $10MM,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,0,0,0,*,<= $100MM,FNMA,AGENCY CMO IO/PO,20190304
NUMBER OF TRADES,0,0,0,0,> $100MM,FNMA,AGENCY CMO IO/PO,20190304
AVERAGE PRICE,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
WEIGHTED AVG. PRICE,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
AVG. PRICE BOTTOM 5 TRADES,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
2ND QUARTILE PRICE,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
3RD QUARTILE PRICE,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
4TH QUARTILE PRICE,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
AVG. PRICE TOP 5 TRADES,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
STANDARD DEVIATION,*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),*,*,*,0,TOTAL,FHLMC,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),*,*,*,0,CUSTOMER BUY,FHLMC,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),0,0,*,0,CUSTOMER SELL,FHLMC,AGENCY CMO IO/PO,20190304
VOLUME OF TRADES (000'S),0,0,0,0,DEALER TO DEALER,FHLMC,AGENCY CMO IO/PO,20190304
